2	B-Disease
SPACE	I-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
合	O
并	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
口	B-Method
服	I-Method
降	I-Drug
糖	I-Drug
药	I-Drug
用	O
药	O
LB	O
原	O
则	O
中	O
国	O
专	O
家	O
共	O
识	O
(	O
2	O
0	O
1	O
5	O
SPACE	O
年	O
更	O
新	O
版	O
)	O
LB	O
中	O
国	O
医	O
师	O
协	O
会	O
内	O
分	O
泌	O
代	O
谢	O
科	O
医	O
师	O
分	O
会	O
LB	O
_	O
SPACE	O
_	O
SPACE	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
是	O
严	O
重	O
威	O
胁	O
人	O
类	O
健	O
康	O
的	O
常	O
见	O
慢	O
性	O
病	O
,	O
LB	O
病	O
因	O
多	O
种	O
多	O
样	O
,	O
由	O
糖	B-Reason
尿	I-Reason
病	I-Reason
所	O
引	O
发	O
的	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
称	O
为	O
糖	B-Disease
LB	I-Disease
尿	I-Disease
病	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
变	I-Disease
。	O

SPACE	O
2	B-Disease
SPACE	I-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
常	O
合	O
并	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
,	O
高	B-Reason
血	I-Reason
LB	I-Reason
糖	I-Reason
是	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
发	O
生	O
和	O
发	O
展	O
的	O
主	O
要	O
原	O
因	O
之	O
一	O
,	O
因	O
此	O
良	O
LB	O
好	O
控	O
制	O
血	B-Test
糖	I-Test
至	O
关	O
重	O
要	O
。	O

SPACE	O
口	B-Drug
服	I-Drug
降	I-Drug
糖	I-Drug
药	I-Drug
是	O
良	O
好	O
控	O
制	O
血	B-Test
糖	I-Test
最	O
LB	O
常	O
用	O
的	O
降	O
糖	O
药	O
物	O
[	O
1	O
]	O
。	O

SPACE	O
中	O
国	O
医	O
师	O
协	O
会	O
内	O
分	O
泌	O
代	O
谢	O
科	O
医	O
LB	O
师	O
分	O
会	O
于	O
SPACE	O
2	O
0	O
1	O
3	O
SPACE	O
年	O
组	O
织	O
国	O
内	O
的	O
内	O
分	O
泌	O
科	O
和	O
肾	O
内	O
科	O
领	O
域	O
LB	O
专	O
家	O
,	O
共	O
同	O
制	O
定	O
了	O
“	O
2	B-Disease
SPACE	I-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
合	O
并	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
口	B-Method
服	I-Method
降	I-Drug
LB	I-Drug
糖	I-Drug
药	I-Drug
用	O
药	O
原	O
则	O
中	O
国	O
专	O
家	O
共	O
识	O
”	O
SPACE	O
[	O
2	O
]	O
。	O

SPACE	O
近	O
年	O
来	O
,	O
2	B-Disease
SPACE	I-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
LB	O
合	O
并	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
患	O
者	O
中	O
口	B-Method
服	I-Method
降	I-Drug
糖	I-Drug
药	I-Drug
治	O
疗	O
证	O
据	O
不	O
断	O
丰	O
LB	O
富	O
,	O
国	O
内	O
外	O
糖	B-Disease
尿	I-Disease
病	I-Disease
及	O
肾	B-Disease
脏	I-Disease
病	I-Disease
权	O
威	O
指	O
南	O
对	O
SPACE	O
2	B-Disease
SPACE	I-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
合	O
LB	O
并	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
的	O
口	B-Method
服	I-Method
降	I-Drug
糖	I-Drug
药	I-Drug
应	O
用	O
规	O
范	O
也	O
进	O
行	O
了	O
相	O
应	O
更	O
LB	O
新	O
,	O
加	O
之	O
同	O
时	O
陆	O
续	O
有	O
新	O
的	O
口	B-Method
服	I-Method
降	I-Drug
糖	I-Drug
药	I-Drug
上	O
市	O
。	O

SPACE	O
因	O
此	O
,	O
本	O
分	O
LB	O
会	O
再	O
次	O
组	O
织	O
相	O
关	O
专	O
家	O
对	O
原	O
有	O
共	O
识	O
进	O
行	O
了	O
更	O
新	O
完	O
善	O
。	O

LB	O
一	O
、	O
SPACE	O
2	B-Disease
SPACE	I-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
合	O
并	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
的	O
流	O
行	O
病	O
学	O
LB	O
流	O
行	O
病	O
学	O
调	O
查	O
显	O
示	O
各	O
地	O
成	O
年	O
人	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
的	O
患	O
病	O
LB	O
率	O
存	O
在	O
差	O
异	O
,	O
为	O
SPACE	O
9	O
.	O
SPACE	O
0	O
%	O
SPACE	O
~	O
SPACE	O
1	O
4	O
.	O
SPACE	O
0	O
%	O
SPACE	O
[	O
3	O
-	O
7	O
]	O
。	O

SPACE	O
近	O
期	O
中	O
国	O
慢	B-Disease
性	I-Disease
肾	I-Disease
LB	I-Disease
脏	I-Disease
病	I-Disease
流	O
行	O
病	O
学	O
调	O
查	O
显	O
示	O
,	O
我	O
国	O
成	O
年	O
人	O
中	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
患	O
LB	O
病	O
率	O
为	O
SPACE	O
1	O
0	O
.	O
SPACE	O
8	O
%	O
SPACE	O
,	O
据	O
此	O
估	O
算	O
SPACE	O
1	O
8	O
SPACE	O
岁	O
以	O
上	O
人	O
群	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
LB	O
患	O
者	O
人	O
数	O
约	O
SPACE	O
1	O
.	O
SPACE	O
1	O
9	O
5	O
SPACE	O
亿	O
[	O
8	O
]	O
。	O

SPACE	O
一	O
项	O
中	O
国	O
健	O
康	O
与	O
养	O
老	O
追	O
踪	O
调	O
LB	O
查	O
研	O
究	O
表	O
明	O
,	O
4	O
5	O
SPACE	O
岁	O
以	O
上	O
中	O
年	O
及	O
老	O
年	O
人	O
群	O
中	O
,	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
LB	I-Disease
病	I-Disease
患	O
病	O
率	O
达	O
到	O
SPACE	O
1	O
1	O
.	O
SPACE	O
5	O
%	O
SPACE	O
,	O
且	O
城	O
市	O
患	O
病	O
率	O
高	O
于	O
农	O
村	O
[	O
9	O
]	O
。	O

SPACE	O
另	O
LB	O
一	O
方	O
面	O
,	O
糖	B-Disease
尿	I-Disease
病	I-Disease
的	O
患	O
病	O
率	O
也	O
很	O
高	O
。	O

SPACE	O
2	O
0	O
1	O
0	O
SPACE	O
年	O
中	O
国	O
糖	B-Disease
尿	I-Disease
病	I-Disease
LB	O
流	O
行	O
病	O
学	O
调	O
查	O
显	O
示	O
成	O
人	O
糖	B-Disease
尿	I-Disease
病	I-Disease
患	O
病	O
率	O
已	O
达	O
SPACE	O
1	O
1	O
.	O
SPACE	O
6	O
%	O
SPACE	O
,	O
据	O
LB	O
此	O
估	O
计	O
我	O
国	O
糖	B-Disease
尿	I-Disease
病	I-Disease
患	O
者	O
人	O
数	O
约	O
SPACE	O
1	O
.	O
SPACE	O
1	O
3	O
9	O
SPACE	O
亿	O
[	O
1	O
0	O
]	O
。	O

SPACE	O
糖	B-Reason
尿	I-Reason
病	I-Reason
LB	O
与	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
关	O
系	O
密	O
切	O
,	O
糖	B-Reason
尿	I-Reason
病	I-Reason
患	O
者	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
发	O
生	O
LB	O
风	O
险	O
较	O
非	O
糖	B-Disease
尿	I-Disease
病	I-Disease
患	O
者	O
增	O
加	O
SPACE	O
2	O
.	O
SPACE	O
6	O
SPACE	O
倍	O
[	O
1	O
1	O
]	O
。	O

SPACE	O
在	O
发	O
达	O
国	O
家	O
,	O
糖	B-Reason
LB	I-Reason
尿	I-Reason
病	I-Reason
已	O
是	O
导	O
致	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
的	O
主	O
要	O
病	O
因	O
,	O
美	O
国	O
流	O
行	O
病	O
学	O
LB	O
调	O
查	O
显	O
示	O
,	O
年	O
龄	O
≥	O
2	O
0	O
SPACE	O
岁	O
的	O
SPACE	O
2	B-Reason
SPACE	I-Reason
型	I-Reason
糖	I-Reason
尿	I-Reason
病	I-Reason
患	O
者	O
有	O
SPACE	O
3	O
9	O
.	O
SPACE	O
7	O
%	O
合	O
LB	O
并	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
[	O
1	O
2	O
]	O
。	O

SPACE	O
而	O
且	O
在	O
发	O
展	O
中	O
国	O
家	O
,	O
糖	B-Reason
尿	I-Reason
病	I-Reason
正	O
逐	O
渐	O
LB	O
成	O
为	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
的	O
主	O
要	O
致	O
病	O
原	O
因	O
[	O
1	O
3	O
]	O
。	O

SPACE	O
我	O
国	O
住	O
院	O
糖	B-Disease
尿	I-Disease
LB	I-Disease
病	I-Disease
患	O
者	O
的	O
回	O
顾	O
性	O
研	O
究	O
表	O
明	O
,	O
5	O
2	O
.	O
SPACE	O
2	O
5	O
%	O
的	O
糖	B-Reason
尿	I-Reason
病	I-Reason
患	O
者	O
合	O
并	O
LB	O
肾	B-Disease
脏	I-Disease
并	I-Disease
发	I-Disease
症	I-Disease
[	O
1	O
4	O
]	O
,	O
上	O
海	O
市	O
区	O
SPACE	O
3	O
0	O
SPACE	O
岁	O
以	O
上	O
SPACE	O
2	B-Reason
SPACE	I-Reason
型	I-Reason
糖	I-Reason
尿	I-Reason
病	I-Reason
患	O
者	O
LB	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
患	O
病	O
率	O
可	O
达	O
SPACE	O
6	O
3	O
.	O
SPACE	O
9	O
%	O
SPACE	O
[	O
1	O
5	O
]	O
,	O
提	O
示	O
糖	B-Disease
尿	I-Disease
病	I-Disease
合	O
并	O
LB	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
也	O
是	O
我	O
国	O
糖	B-Disease
尿	I-Disease
病	I-Disease
研	O
究	O
和	O
治	O
疗	O
领	O
域	O
面	O
临	O
的	O
重	O
LB	O
大	O
问	O
题	O
。	O

LB	O
二	O
、	O
SPACE	O
2	B-Disease
SPACE	I-Disease
型	I-Disease
糖	I-Disease
尿	I-Disease
病	I-Disease
合	O
并	O
慢	B-Disease
性	I-Disease
肾	I-Disease
脏	I-Disease
病	I-Disease
的	O
诊	O
断	O
